"ID","population.code","Roundness","Ellipticity","Rectangularity","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4","G1","G2","G3","G4","H1","H2","H3","H4","I1","I2","I3","I4","J1","J2","J3","J4","K1","K2","K3","K4","L1","L2","L3","L4","M1","M2","M3","M4"
"ind_4187","A",0.73744011515386,0.112174473673652,0.763034783099127,0.031432088782372,-0.017237143219633,-0.003528938774674,0.013762627763726,0.004215145487942,-0.00645129996363,-0.001647925417095,0.000237848567643,0.001358941796313,0.002100274070706,-0.000199901043521,-0.001446176628373,-0.000505362442319,0.00037139757762,0.000593242721437,0.000334631753759,-0.000340986652773,-0.000437202236413,-2.02764297480836E-05,-0.00017836749246,9.69999896845037E-05,0.000635277172777,6.20505832326342E-05,-0.000501539050647,-0.000292241605044,0.000132599251616,0.000408503011631,-4.42725265246399E-05,-0.00030884165757,3.24557184655622E-05,-0.509797660185756,-0.001883293489441,-0.002432664137399,0.004732519482604,0.010364667776494,-0.000646959773583,-0.00505341323058,-0.000824780721261,-0.000225943274069,0.001773843817593,0.00196555636134,-0.000934672245204,-0.001703472042651,0.000231221376963,0.000851633212856,0.000514579433546,0.000127192976569,-0.000403869961566,-0.000469530838934,0.000201763108694,0.000447766767629,9.39571583075599E-05
"ind_4188","A",0.798205645848082,0.073914741287721,0.764511319216364,0.05615790762299,-0.028590536176182,-0.017414473425481,0.018464355185347,0.009544991260592,-0.003474933735612,-0.001517798926426,-0.002533328599801,-0.001291137888512,0.002575086177647,0.00352162985213,0.000799138149491,-0.001814304381789,-0.00175246555517,-0.000120523836669,0.000769851876685,0.000721106890945,-4.9417282716252E-05,-0.000782595725922,-0.000155300725277,0.00055083177711,0.000154033678146,-5.71260546742127E-05,-8.90018478648245E-05,-0.000292047968406,0.000173873166844,0.000172666327404,-0.000174677265766,-2.7368367070665E-05,-0.000225351319263,-0.526462991628455,-0.003627136535444,-0.019544452402145,0.003955990612244,0.013619032549149,0.002049765924874,-0.000970524589868,-0.001986178457435,-0.003933738110417,0.000469461901816,0.00235607358044,0.001149938048774,-0.000417593069299,-0.000715583080411,-2.46894297978691E-05,-0.000283102423493,-0.000336916249398,-0.000580978850268,6.01465067511504E-05,0.001099599612853,0.000144720725594,-0.000768048512371
"ind_4189","A",0.805451166171191,0.093956967482576,0.804695059548084,0.060162686098592,-0.007184488292136,-0.011857608270541,0.006124635169884,-0.001273007785103,-0.005015113942981,0.002570241096183,0.002268389871893,-0.000467015631328,-0.000301480646837,6.43787904839008E-05,-0.000376275193588,0.000753789594882,0.000229713029382,8.03532452644716E-06,-0.000330269514028,-0.000186217235639,-9.42290459239045E-06,0.00026927239494,0.00047762539714,0.000194146526737,-0.000456555482682,-0.000457521230623,9.91118783817654E-05,0.000401064867499,0.000379435921692,-0.00015810656712,-0.000345208057218,0.000125551746233,0.000235720271857,-0.514255033266952,-0.005634426033905,-0.00073729553849,0.007950374896844,0.010719755367543,-0.002532172434332,-0.005659382967908,-0.000698333489796,-0.000983728085767,0.000733712372801,0.001389008926468,-4.00441548517148E-05,-3.77016264288671E-05,-0.000170464489659,-0.000394212152018,0.000374494802965,0.000992611984385,0.000441450564286,-0.000304607484142,-0.000370288386807,-0.000246541958923,-1.6952372094952E-05
"ind_4190","A",0.761670865519528,0.106050771305663,0.776370823952743,0.026607554664676,-0.005377039943819,-0.005591006677374,0.004683143865412,0.00459397988789,-0.001723284406998,-0.002290426315226,-0.001723089770928,-0.000265341745305,0.001926314353405,0.001887649805983,0.000158343179985,-0.001580374824652,-0.001131875769353,0.000660749576853,0.000744969861992,0.000407351047559,-0.00016949533139,-0.000711464393579,-0.000461739315992,0.00035915722028,0.000370998222519,0.000398394904327,2.7123858768252E-05,-0.000403645982184,-3.67202692444233E-05,-0.00015143656976,-0.000350113914802,3.49184705954114E-05,0.000409077491712,-0.498529384910441,-0.000582678350167,-0.000923403249875,-0.00083593022827,0.00310359353872,0.001449575554714,0.001358275154181,-2.60750199118065E-05,-0.002813714937901,-0.000862726761402,0.002910483075869,0.001691399167964,-0.000258760881127,-0.00145582600352,-0.000740973554698,0.000237743799064,8.48371827476932E-05,0.000166902529289,0.000275386164312,3.74722431522224E-05,-5.79297288452122E-05,-2.53816591338613E-05
"ind_4191","A",0.753827862354257,0.11314922039174,0.780269141677299,0.04547840972884,-0.022075759007862,0.005280995399708,0.016425436969051,-0.003044150806049,-0.009837126123142,-0.001596356961724,0.00117895501775,0.003253610311492,0.000705737189178,-0.002674496772863,-0.000795491837346,0.001858493567707,0.000496257141951,-0.000798202780469,0.000195370069408,0.00023023734771,-0.000368774746871,-0.000594149369468,-0.00029283683054,0.000649781799936,0.000469425065788,-0.000135381425014,-0.000465795253911,8.48977490190399E-05,-0.000207134655489,0.000215754771419,0.000973231404964,-0.000120446181859,-0.001156872947694,-0.519687431653706,-0.01200607185537,-0.015033981265757,0.008848810391716,0.015385397472145,-0.001809806727882,-0.004148265159554,-0.00075436486677,-0.001469322641189,0.002339050920678,0.002792665535849,-0.000106213081949,-0.001331023251328,-0.001586399204205,-1.57162211625312E-05,0.001510139238973,0.00096326925015,-0.000614429289079,-0.001127474467392,-0.000154401728506,0.000809239774158,0.000601154135659
"ind_4192","A",0.757888568938304,0.098903475754665,0.757265429062012,0.046284559542092,-0.02273839292776,-0.00979053089268,0.01574229964103,0.010897274037406,-0.001318462362251,-0.001547674401888,-0.00435057145487,-0.003706375041062,0.001649691834065,0.005452955107535,0.001972537007004,-0.003101725762741,-0.002787208219603,0.000410967518145,0.001440120524953,0.000777390941851,2.64785055148377E-05,-0.000808295105233,-0.000555137701139,0.000358633963696,0.000714204934022,-0.000142163321157,-0.000444940833462,-2.34377568060295E-05,0.000334062827375,0.000190720416339,8.03516072241879E-05,-7.01515677420889E-05,-0.000346133654675,-0.515075267727782,-0.000926434594566,-0.007320633533269,-0.005488756720077,0.010897460208081,0.008237017245473,-0.003430496603297,-0.004684504876852,-0.000191825796768,0.001487525762143,-0.000630985031105,-0.000930372733361,0.001179962538554,0.001602643625263,-0.000432157838477,-0.001583736372023,-0.000591724285177,0.000440492115296,0.000857290920447,0.00011862943018,-0.000511211979517,-0.000155373496247
"ind_4194","A",0.775897134715452,0.092552442630556,0.772963131396003,0.034135377135742,-0.008106169552905,-0.012518490562695,0.007189636499894,0.004105951366467,-0.004909936763046,-0.001567770847442,0.002586645847307,0.001350582754844,0.00043216649065,0.000215854607812,-0.001172541180201,-0.001266725836192,9.29006517396081E-05,0.001296080970629,0.000676444600456,-0.000813812256321,-0.001527817114574,-0.000372204958814,0.000897977224565,0.000873426620879,0.000482365288261,-0.000201918172696,-0.00070195216959,-0.000240306724557,0.00073275935263,0.000175332943027,-0.000335362652581,0.000167300931436,-4.34967505460741E-05,-0.523714730538523,-0.005551911817236,-0.006981342852515,0.002277088848081,0.01189030080125,0.001782154321478,-0.006342107764755,-0.002563843346018,-0.000376802585707,0.001694689956841,0.0019092193329,-7.79004726670594E-05,-0.001258644593418,-0.000475823047921,0.000735131314345,0.001029576251015,-0.000798024276606,-0.001110591747215,0.001119782252507,0.000530052237923,-0.000766824570122,-0.000493675529483
"ind_4195","A",0.794130683370498,0.086952234102313,0.782902267140327,0.046129194804134,-0.008300202963261,-0.01007869655223,0.009695011382126,0.003063134276176,-0.006632889578678,0.000295704242648,0.003570303249506,0.000334923546155,-0.001356659549715,-0.000229708247397,-0.000912307548611,0.00012667331032,0.001754371480234,0.000821207988682,-0.001877080501679,-0.001063022981044,0.000609255869823,0.000516665140676,-0.00024068157056,0.000310384750805,-0.000349234172834,-0.000577948490632,0.000268321564148,0.000181251037499,-5.75135470126997E-05,6.96671076646706E-05,-8.85270918482188E-05,-8.26282192112657E-05,0.000102915078776,-0.512233366306012,-0.008407508118695,0.004217097253855,0.009173915547541,0.009174098683233,-0.002821929949986,-0.005995459807784,-0.000946843570021,0.001901546919615,0.001464360500555,0.000114821903342,-0.001547438106766,-0.000597442661198,0.000435321641698,-0.000510073875014,-0.000395821644719,0.000658613543101,-0.000114742850056,-0.001004643142789,0.000171532419578,0.000603243687944,-2.15292082589064E-05
"ind_4196","A",0.739400323066355,0.111902723360978,0.766164937172782,0.046884327838651,-0.025239638681393,-0.003187091968627,0.017956445494205,4.18082155879374E-05,-0.010401813453358,-5.5300305383159E-06,0.001471641595889,0.001739510905252,0.001939619820675,0.000196258423796,-0.000432316617874,-0.000507909079533,-0.000852412615731,0.000141921120076,0.001041787700658,0.000214732240495,-0.000570327465684,-0.00041982947852,5.1167236152178E-05,0.000455199241821,0.000391738308072,-0.000612335858112,-0.000609893619036,3.90324633161758E-05,0.000341166636296,-0.000181631218124,-0.000358431667313,0.000576594813433,0.000428790112825,-0.532550682383387,-0.009598669207906,-0.020671290513361,0.006524858548481,0.020746193771894,0.000212980055107,-0.006490694513146,-0.002727918316179,-0.002920653282742,0.001652241539116,0.004467648450469,-0.000910303146546,-0.002084246664651,-0.000343654496018,-9.34132130800991E-05,4.80824498195408E-05,0.000527455273432,0.00037160461212,-0.000358899196215,-1.87827817546385E-05,-0.000243940241691,-0.000674516842473
"ind_4198","A",0.77161700067938,0.109029960977674,0.80211450169603,0.058681231616376,-0.032186519141827,-0.010261757446566,0.022637631021244,0.00154895580042,-0.007542898661379,-0.001463464884052,-0.00024633093561,0.00190327468073,0.002750758850835,-0.000184720932235,-0.002090908644967,-0.001274037228224,0.000500918637185,0.001148834199991,0.000283421195053,-0.000298592398261,-0.000413813110706,1.01978979644905E-05,0.000312054695448,6.02168313675349E-05,-0.000779804243162,8.47066583814419E-05,0.00100894835086,-1.6026475752171E-06,-0.000635000652946,-0.000340024666086,1.07673233368215E-05,0.000212322951567,0.000236772324349,-0.538916229307086,-0.008672009619883,-0.020470609377872,0.007243109189552,0.017943662763979,-0.000118763511971,-0.004181986384607,-0.001665857623101,-0.00154152718561,0.001475481731205,0.001078728874574,-0.000327785276093,0.000527208193062,-0.000328405321976,-0.001098134652406,0.00017527042531,0.000164232691378,-1.56856162879443E-05,0.000663428186648,-0.000245692043848,-0.000755567187278,-0.000391746710308
