"ID","population.code","area","weight","Na23_NIES","Mg24_NIES","Cu63_NIES","Zn64_NIES","Rb85_612","Sr88_NIES","Ba138_NIES","Pb208_NIES"
3283,"NA","edge","15.587",7.62886289770142,"2.69056488676119",-1.42295834549148,-2.04022082852655,"-2.33304430047875","7.57194212818111","0.364643113587909",-6.26590139280974
3284,"NA","edge","17.79",8.05638237845917,"2.8570447537801",-1.27296567581289,-1.27296567581289,"-2.45340798272863","7.57255956778169","0.0295588022415444",-6.03228654162824
3285,"NA","edge","20.669",7.94392817513314,"2.73176672771953",-1.20397280432594,-1.6094379124341,"-2.44184716032755","7.70404551845895","0.122217632724249",-6.07484615604703
3287,"NA","edge","23.073",7.57143760288751,"2.72719901994097",-1.04982212449868,-1.6094379124341,"-2.20727491318972","7.86563698963235","0.122217632724249",-5.52146091786225
3288,"NA","edge","59.815",8.05174875324612,"3.3083508312958",-1.38629436111989,-2.30258509299405,"-2.23492644452023","7.44984698462213","0.951657875711446",-6.26590139280974
3289,"NA","edge","17.248",7.81332878601509,"2.77321352700862",-1.34707364796661,-2.04022082852655,"-2.45340798272863","7.76642960980327","0.774727167552368",-6.72543372218818
3290,"NA","edge","28.022",7.92627402535132,"2.86562358820697",-1.23787435600162,-1.96611285637283,"-2.09557092360972","7.618413246892","-0.0943106794712413",-4.8283137373023
3291,"NA","edge","27.128",7.94275306392151,"2.8384934971275",-1.34707364796661,-1.83258146374831,"-2.17155683058764","8.09135495330617","0.641853886172395",-4.96184512992682
3292,"NA","edge","26.424",7.80399023151984,"2.99573227355399",-0.867500567704723,-0.371063681390832,"-2.40794560865187","7.69374596323713","0.182321556793955",-5.29831736654804
3293,"NA","edge","31.178",7.97719619034997,"2.69934576047206",-0.843970070294529,-1.23787435600162,"-2.20727491318972","8.00317246875371","0.506817602368452",-5.80914299031403
3294,"NA","edge","21.471",7.72371725905949,"2.77321352700862",-1.04982212449868,-0.944175935363691,"-2.3434070875143","7.76995301147599","0.157003748809665",-6.4377516497364
3295,"NA","edge","20.386",7.79418456282213,"3.11706455872152",-0.941608539858445,-0.105360515657826,"-2.24431618487007","7.47866137654288","0.307484699747961",-5.84304454198971
3296,"NA","edge","33.182",7.72195569780799,"2.78932292123095",-1.07880966137193,-0.527632742082372,"-2.3538783873816","7.63497532987522","-0.188742124596877",-6.31996861408002
3297,"NA","edge","17.334",7.87841297667237,"2.905807566026",-0.82098055206983,-0.565633860260986,"-1.83885107676191","7.78019025245786","0.548121408509688",-5.59942245933196
3298,"NA","edge","21.284",7.74963276134095,"2.75047091698616",-0.843970070294529,-0.0943106794712413,"-2.39689577246529","7.72746902899696","0.336472236621213",-5.42615073805792
3299,"NA","edge","15.817",7.93232267043034,"2.73371794785079",-1.10866262452161,-0.562118918153541,"-2.37515578582888","7.68224739587079","0.647103242058538",-6.61508566501932
3300,"NA","edge","28.893",8.09476298641204,"2.9590682891824",-0.776528789498996,-0.623621117911335,"-2.12863178587061","7.75602409640938","0.182321556793955",-6.38302675004716
